ID,Label
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,1
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,0
