Id,Label
0,1
1,0
2,1
3,1
4,1
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,1
25,0
26,0
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,0
